,
[གྱོག་ མོ],
[ཨིན་ ཧིན་],
[ལག་ ཁུམ་],
[ནོ ར་],
[ཞ་ ཡིས་],
[ཚུ ར་],
[ཉི་ འས་],ཉ
[བཤད ་ དྲེ་],
[ཆི་ ཟེར་],
[མནན་ ཏང་ ང་],
[ཟེར་ ཁ་ ཡེ ས་],
[ཡོད་ རེ་],
[ཆི་ ཟི་],
[མེད་ ནོ],
[སྔུན་ ན་],
[འགྱོ་ འི་],
[ཡག་ དཔའ་ ཟི་],
[འདི་ འེ་],
[མྱིང་ ང་],
[ཆི་ ཟེ_ ར་],
[མྱིང་ ཡ་],
[ག་ མོ་],
[འདི་ འི་],
[ལྟག་ འ་],
[འཛུ ས་ བསྡད་],
[ཚོགས་ ག་],
[ནང་ ང་],
[འཇུག་ གོ],
[སྐུར་ ར་],
[བསྐུར་ ར་],
[ཤི་ རིས་],
[ཅི ས་],
[ཁྲི ས་ འོ་],
[བུད་ ཚོང་],
[ལུག་ སྲུང་],
[བརྡ་ རྟགས་],
[ཇ་ གང་],
[ཏོག་ གོ་],
[སོ་ གཉིས],
[གང་ སྐྱིད་],
[འདི་ འུ ས་],
[ཡེ ས་],
[སྟེང་ ང་],
[མང་ ང་],
[བཅུག་ བཏང་],
[རེད་ དྲ་],
[ཚོགས་ ག],
[བཅུག་ ས],
[འགྱོ་ ར་],
[འགྱོ་ འུ་],
[ཚར་ དུ ས་],
[འཛུ ས་ ཡེ ས་],
[དུ་ མོ་],
[པ ར་],
[ཕོ་ མོང་],
[ཨ་ མི་ དྷེ་ ཝ་],
[ཨོ་ ཡ],
[ས་ བོ་],
[བཀའ་དྲིན་ ཆེ],
[བསམ་ རྒྱུ་],
[ནེམ་ ཁྲི་],
[ལས་ འོ་],
[ཆེད་ གོ་],
[ངི་ ཆ་],
[དཀའ་ འུ་],
[མེ་ ཁུ་],
[འབྲི་ རྒན་],
[སོང་ ང་],
[ཡོང་ ངེ་],
[ནངས་ རེས་],
[ཨོ་ ལེ],
[ནང་ རེས་],
[སྔ་ སེ་],
[བཀར་ རྒྱུ་],
[ཐོན་ ཐལ་],
[བསྡད་ དོ་],
[ཤོགས་ ར་],
[ཧར་ ར་],
[དགོས་ འུ་],
[ཐོན་ དང་],
[སྐད་ ཙིག་],
[གཏང་ ས་],
[ཁུ་ སྒེ ས་],
[ཁོ་ སྒེ ར་],
[སྐད་ འཕྲིན་],
[ཨ་ བེ་],
[ཡིན་ ནེ་],
[དི་ རེ་],
[དེ་ རེད],
[ཨོ་ ཡ་],
[ཕ ར་],
[ཧྲ་ རྒྱུ་],
[ཁུར་ ཙང་],
[ཤོག་ ར་],
[ཡར་ ར་],
[བུད་ ཐལ་],
[ཚུ་ ར་],
[བུད་ ཐལ],
[བརྫས་ _  ར་],
[དི་ འུ ས་],
[དེ་ དགོང་],
[ཁྱོད་ སྒེ ར་],
[ཁུར་ གེ་],
[ཤོགས་ ར],
[རང་ ང་],
[མྱེ་ གཞིས་],
[ཉིན་ ཚིག་],
[འདི ས་ མོ་],
[བཙའ་ འོ་],
[བཙལ་ འོ་],
[ཐོན་ ཏང་],
[རིག་ འ],
[ཤོགས་ ཡ་],
[ཉིས་ ཀ་],
[མི་ དྷེ་ ཝ་],
[འོད་ མཚན་],
[ལབ་ ཏང་],
[དགོས་ སྐྱིད་],
[ད་ འུ],
[དུ་ ཚོ་],
[འགྲོགས་ འས་],
[ཁ་ཕྱེ ་],
[སྡེ་ སང་],
[ལག་ ཀ་],
[ཨིན་ འུན],
[ལག་ ཀ],
[ལེ་ ལེ],
[གཙོག་ པ་],
[འགྱོ་ ཡས],
[འུ་ཉ ས་],
[མགྱོགས་ ཧ་],
[ཡུན་ ཟ་],
[དཀར་ རོ་],
[འུན་ ཧུན],
[ཁེར་ བུ་],
[འདི་ ཉ་],
[བཞི་ བ་],
[བརྒྱད་ པ་],
[མགོ་ རྡོ],
[གླང་ དམར་],
[སེར་ རོ་],
[ཁྱེད་ ཉ་],
[སྐོམ་ ཆུ་],
[ཆུ་ བླུགས],
[ཁྱི་ པ],
[ཁྱི་ སྐྱག],
[མིན་ན ས་],
[ཁྱེད་ ཉ],
[མིན་ན ས],
[རྩ་ དྲུག],
[དགུ་ བཅུ་],
[ཆི་ ཡེད་],
[དཀར་ རོ],
[དེ་ རང་],
[རྫ ས],
[རྫ ས་],
[དུ ས],
[མཛུག་ འུ་],
[ངེད་ ཉ་],
[འུ་ ཆ་],
[ཀན་ ན],
[སྩ་ མོ་],
[ཨུ་ འོ],
[ཨུ་ ན],
[ངེད་ ཉ],
[དབྱ ར་ རྩྭ་],
[འུན་ ཧིན],
[ལག་ འ་],
[ཡག་ ཀ་],
[དུ་ ན་],
[ལྕགས་ རྟ་],
[ར ས་],
[ཨུ་ འུ],
[ཨ་ འོ],
[གན་ ཆོ་],
[ང་ གི་],
[ལྕགས་ རྟ],
[རྫ་ དེད་],
[ཁྱོ་ འདེ་],
[འགྲོ་ ཧ་],
[ཤོག་ འུ་],
[ཡག་ ཧ་],
[མ་ ཁུ་],
[ཉྭ་ ཟི་],
[བྱུང་ ཀི་],
[ལྟ་ འི་],
[སོང་ ངེ་],
[བཅུ་ ཐམ་པ],
[ཁྱུར་ ཆས་],
[རུ ས་],
[སྩོག་ འ་],
[ཁྱེར་ ར་],
[བདག་ འོ་],
[ཁ་ ཧྤེ་],
[སུ ར་],
[ཉིས་ འ་],
[ཕྱིར་ ར་],
[ཡག་ ག་],
[སྡུག་ ཧ་],
[དགོ་ འགྲེ་],
[ཁྱུར་ སྒེ་],
[ཞོལ་ འུ],
[ཉ་ འ་],
[བདག་ ཀོ],
[བྱ་ འགུལ་],
[ཀན་ གི],
[ཙིག་ འ་],
[ཆི ས་],
[སྐོམ་ ཆུ],
[ཨོ་ ལ],
[ཡེད་ ཡས་],
[བྱ་ འགུལ],
[ཁོང་ ཆ་],
[ཡི་ འེ་],
[འུ་ ཆས་],
[འདེ་ ཡ་],
[སྡེ་ མིག་],
[ཇ་ ལྡུགས་],
[ལྕགས་ རྫ་],
[དུ་ སོ་],
[དུ ས་],
[འགྱེད་ ཏོན],
[བཅའ་ ཟེ],
[གླུ་ ལེན་],
[རྒྱུགས་ ཤོག],
[ཆི་ འུ ས་],
[ཐད་ པ་],
[ཡེད་ ནོ་],
[དུ་ འས་],
[ཡེད་ ད ས་],
[ཁྱབ་ སྒྲགས],
[ཁུར་ གི་],
[དང་ བོ་],
[གཉིས་ བ་],
[དོ་ ཚིག],
[ལྡེ་ མིག],
[ཁང་ བ་],
[རྒྱུགས་ ཤོག་],
[ཕལ་ ཆད],
[ཧོ ས་ ཡ་],
[འདང་ ར་],
[ཧན་ ན],
[ཁོ་ སོ་],
[-པ ས],
[ན་ ནང་],
[དོ་ ཚིག་],
[དུ་ ཡ་],
[ཐ་ ཚོ་],
[ཁྱེད་ ཆ་],
[འདི་ ཆས་],
[བཀོད་ སྒྲིགས་],
[ཁྱེད་ ཚོ་],
[རྒྱུགས་ སྤྲད་],
[ཁ་ཡ ས],
[རྩ་ ཡ་],
[ཡོང་ གྱེ་],
[ད་ སྒེ་],
[འགྱོ་ གྱེ་],
[གྱི་ ན་],
[ནོ ར་ རྫ་],
[རོགས་ འ་],
[ལུག་ རྫ་],
[དྲག་ ག],
[ཟིག་ འ་],
[བཞོ་ ས་],
[ཐུར་ ར་],
[ཤོག་ ད་],
[ང་ སྒུ་],
[ཡག་ འ་],
[ཁྱིམ་ མ་],
[བཏང་ ངེ་],
[སྡུག་ ཧོ་],
[ཉོ་ གྱེ་],
[རྩེ་ ཡས་],
[རླུངས་ འཁར་],
[ཧོ ས་],
[ཁྱེར་ རེ་],
[རྫོག་ འས་],
[ཕོ་ མིང་],
[འབབ་ གི་],
[འདི་ སྒེ],
[སྒོང་ ངས་],
[མེ་ ཐོག་],
[དུ་ སྒེ་],
[ཆེ་ པོ་],
[བཅའ་ སྐྱིད་],
[ཡོ་ གྱོ་],
[ཆག་ འས་],
[ཡོ་ འགྲེ་],
[ཞ་ ཞེ་],
[མེད་ ཚ་],
[ཨ་ ཞང་],
[གེམ་ ཆེན་],
[དུ་ འེ ས་],
[ཡིན་ འགྲེ་],
[སོང་ ངས་],
[རྩེ་ སྐྱིད་],
[རྡོ་ རིས་],
[བྲ ས་],
[བདའ་ ཡེ་],
[བཟུང་ ངེ་],
[ཡོང་ ངས་],
[ཨ་ པུ་],
[ཡོད་ དྲེ་],
[ལྟས་ ཡས་],
[དམག་ ཁྲེ་],
[ལྟ་ གྱོ་],
[ནོ ར],
[བྱག་ ག་],
[ཆེ་ གོ་],
[མོ ས་ འུ་],
[ཉིས་ ཀ],
[ཐོབ་ དཔང་],
[བོད་ རྩིས་],
[ཧ་རི ས་],
[བདག་ བོ་],
[རྐང་ ང་],
[ལྟས་ ར་],
[ལོན་ གྱེ་],
[ཡིན་ ན་],
[ངུ་ ཉིས་],
[སྤད་ ཏོན་],
[བླངས་ ཏང་],
[སྤད་ ས],
[བཞག་ བཏང་],
[ལག་ དཔའ་],
[ཆི ས་ བཏང་],
[ཆི ས་ ཡིས་],
[ངུ་ ཆེ་],
[སྤད་ བཏང་],
[ས་ ཡོག་],
[བཅག་ བཏང་],
[སྣ་ རིས་],
[གྲོགས་ ཧོ་],
[ལྷན་ སྐྱེ་],
[བླང་ ངས་],
[ཟོག་ རྫ],
[དྲ་ གྲོགས་],
[བཤད་ བཏང་],
[སྒྲ་ ལང་],
[རྐོ་ གྱེ་],
[བོད་ པ],
[དྲོ་ དང་],
[བཏགས་ བཏང་],
[ཆེ་ བོ་],
[འགྲིག་ འས་],
[སྡུག་ གྱོང་],
[ཐང་ ང་],
[ད་ ལྟ་],
[སྡོད་ ད་],
[ལོ་ ལོན་],
[མཆོད་ དོ་],
[ཇ་ བསུས་],
[ཧ་ རུ་],
[ལས་ བྱ་],
[བྲིས་ བཏང་],
[སྐེ་ ཉག་],
[གནད་ སེམས་],
[རྫ་ སྐེད་],
[སྡེ་ བ་],
[ཧར་ འགོ་],
[རྫ་ སྐེ་],
[བརྒྱབ་ དང་],
[ཁྱུ་ སྒུ་],
[ག་ ཟིག་],
[ངུ ར་ ཚང་],
[ཐ་ ཨོང་],
[ལས་ བཏང],
[མ་ ཡེ་],
[ཡེ ས་ དང་],
[བྱེད་ དང་],
[བྱ་ ཚང་],
[འེ ས་],
[རིང་ ང་],
[དུ་ ནས་],
[ཚོ་ སྟིག་],
[རྐང་ ཤུབ་],
[ནག་ ཁྱ་],
[ད་ཅི ས་],
[ལྟག་ ཁ་],
[ཡོ་ ཚིག་],
[རྩོག་ འ་],
[བོད་ པ་],
[དྲིལ་ བརྡ་],
[ལྟ་ ད་],
[ལྔ་ བོ],
[ཤུན་ འབགས་],
[མི་ ཡེ་],
[ཐུ ས་],
[ཐེན་ ཆིན་],
[རྒས་ མོ་],
[ཆུ་ དྲེ་],
[ཤོག་ འས་],
[དྲེ་ ཇ་],
[ལྟ་ ཡག་],
[ཉེ་ _  པེ],
[སྐྱུར་ ལེབ་མོ་],
[སྒུག་ དང་],
[རྒྱ་ རྒན་],
[མགོ་ དཀྱིས་],
[བརྒྱབ་ བ་],
[མི་ སྒོ་],
[འོད་ སྡེར],
[བརྒྱབ་ བཏང་],
[ཁྱུ་ ཆ],
[གསང་ གྲངས་],
[ཤོ་ ཟིག་ ཡེ་],
[འགྲོ་ རོགས་],
[སྟོང་ ང་],
[ཤེ ར་],
[བཀོག་ འས་],
[བཙའ་ ཡས་],
[གོ ར་ རེ་],
[རེ་ དྲ་],
[བརྫེ ས་],
[ཡིན་ དྲ་],
[བར་ བཏང་],
[ལྟས་ ད་],
[དམག་ པ་],
[ཉ་ ཡེ་],
[ནངས་ སྐ་],
[ཤོག་ གོ །],
[ཁ་ ཤུབ་],
[ག་ ཤིག་],
[འགྲུས་ བ་],
[ཟས་ ཡས་],
[ཤུན་ འབག་],
[ལག་ ཁྱག་],
[ཐེངས་ རེ་],
[གློག་ རྫ་],
[ཞོགས་ ད],
[བཏང་ ང་],
[དགོ་ གྱོ],
[སྡོད་ གོ],
[བྱིན་ དང་],
[སྡོམ་ སོས་],
[རྡུང་ རེས་],
[ཡེད་ དྲེ་],
[འདི་ འེ ས་],
[དུ་ མི་],[དུ་][མི་]
[ཁ་ རྒྱག་],
[ཨུ་ ཁུ],
[ལག་ ག་],
[སྐྱག་ རི་],
[གྲོགས་ གོ་],
[བྱ་ ཚུ ར་],
[མཆུ་ ར་],
[སུག་ ཐུ་],
[འཚོགས་ ག་],
[ཧོ་ ལྷུག་],
[ཡ་ རུ་],
[སྡོད་ དྲ་],
[ཡ་ ར་],
[ལོ་ ལོ],
[རྙེད་ ཆས་],
[སྙི་ ཆས་],
[རྫ་ ཁ་],
[ཆང་ ཐུགས་],
[བཞག་ འ་],
[རྙེད་ དང་],
[ཟེ་ འས་],
[ཧོ་ ཡུས་],
[ཨོ་ ལེ་],
[ཟེ་ ར་],
[བཅོའ་ དང་],
[ལྡང་ ངེ],
[ཡིན་ དྲ],
[འབྲུག་ སྐྱོང་],
[བསྒུག་ འ་],
[ཟེ་ ཡས་],
[ཡོས་ འུ་],
[སྟན་ མོ་],
[ཆུ་ ཁོས་],
[ཧུ་ གུ་],
[ཟེ་ ཡེ་],
[བཅོས་ དང་],
[ཅིག་ འ་],
[ནངས་ དུ ས་],
[འཇོག་ གྱོ་],
[ཡོང་ ང་],
[ཤུས་ འུ་],
[ཟོག་ འ],
[ཧྲ་ ལ་ ཤེས་],
[འཇོག་ འ],
[ཨ་ཡེ ས་],
[ངི་ སེ་],
[བཟུང་ བཏང་],
[ཆར་ ཁ་],
[ཁ་ལོ་ བ་],
[གཞུག་ འ་],
[སྡོད་ ར་],
[འགྱོ་ ཁ་],
[འུ་ཉིས་ འ་],
[ཨ་རོ་ ཆོ་],
[འུ་ འི་],
[ཧར་ ཀ་],
[ཁང་ བ],
[བདག་ གོ་],
[ཨ་ དགའ་],
[དུ་ འུས་],
[དོ་ ཚིགས་],
[ལ་ ཆེས],
[ཡང་ ལི་ ལི་],
[གོ་ ལྡོག་],
[མ ས],
[ལག་ བ་],
[དགོ་ འི་],
[ཁྱུད་ སྒི་],
[ཨུ་ ན་],
[མ་ ར་],
[ལ་ པ་],
[ནང་ བ་],
[ཧ་ འོ །],
[གཅིག་ འ་],
[ཁོག་ བ་],
[ལེ་ ལེ་],
[བཤད་ ལོ ས་],
[ཐང་ འ་],
[ཁ་ རང་བ་],
[མྱི་ སྟོང་],
[ཆི་ འས་],
[ཆི་ _  ཡེད],
[ལྟོས་ -ར་ _ །],
[ཧར་ ནས་],
[ཉིན་ མ་],
[གསུམ་ མ་],
[དོ ར་ མོ],
[དོ ར་ མོ་],
[ཆི་ _  ཡེད་],
[འདུག་ སོ་],
[དབང་ བོ་],
[དྲོ ས་],
[དུ་ མུ་],
[ལྔ་ བཅུ],
[སུམ་ བཅུ་],
[བཞི་ བཅུ་],
[ཨུ་ རེད],
[ཉལ་ འ་],
[དུ་ མོ་ཟིག་],
[མ་ ལོང་],
[ཁྱུད་ ཉིས་ འ་],
[མྱི་ ཁ་],
[དུ་ར་ ཟིག་],
[གྱག ས་],
[ཁྱུད་ ཉིས་ འི་],
[ཁ་ ཨུ་ འགྱོ],[ཁ་][ཨུ་འགྱོ]
[ཁ་ མ་],[ཁ་][མ་]
[དེ་ར་ ཟིག་],
[ཉི་ མ་],
[ཁྱུད་ གི་],
[ཁུར་ སྒི་],
[ཁ་ མི་ ལེན་],
[མྱི་ ཟིག་ འ་],
[ཡུས་ འ],
[ཁ་ མ་ ལེན],
[ཧ་བོ་ མ་ བོ་],
[ཧ་བོ་ མ་མོ་],
[ཁེ་ རུ་],
[ཉིན་ གྱང་ བ་],
[སྡེ་ སེམས་ཅན་],
[དྲོ ས་ ཇ་],
[རྡོ་ སོལ་],
[ཅན་ པོ],
[ཁུག་ དམར་],
[ཅན་ པོ་],
[ཞི་ ལི་],
[དུ་ ག་],
[བོ ར་],
[འུ་ གི་],
[དུ་ ཟོ་],
[རྩ་ འུ་],
[ཕྱག་ མ་],
[དུ་མ ས་],
[ཁྱོད་ ཆོ་],
[སྒོ་ རྒྱོབ],[སྒོ་][རྒྱོབ]
[ཕྲ་ འུ་],
[ཨུ་ རེད་],
[ཨུ་ གོ་],
[ཨུ་ རིག་],
[ཤོག་ སྒམ],
[སེར་ བོ་],
[རྩིས་ ཆས་],
[ཡེད་ ཀི་],
[དུ་ རེད་],
[ཁྱོ ས་ ང འི་],[ཁྱོ][ས་][ང][འི]
[སོང་ རེ་],
[ཨུ་ སོང་],
[ད་ འུ་],
[རྡུ་ ཧོ],
[ཁྱུ་ སྒེ་],
[ཧར་ སྒོ་],
[ཚལ་ དཀར],
[བྲོ་ སྨན],
[རྡུ་ ཧོ་],
[ལམ་ མ་],
[འཕྲུལ་ རྟ],
[བདག་ ཀོ་],
[ཚྭ་ ཁུ་],
[ཕ ར],
[སྙིང་ ཁོལ་],
[ཚུ ར],
[སྙིང་ ཉེ་],
[ཞིས་ མོ],
[ནང་ ཇ་],
[རང འ་],
[ཁུ ས་],
[ཁྱོད་ ཀ་],
[མ་ ཡེད་],
[ཆི་ ཤེས་],
[ཆི་ གོ་],
[ཚེ་ མདོ],
[གོ་ ཟས་],
[ད་ ཚོ་],
[ཟུ ར་],
[ཡེད་ ཏོན་],
[ཁེར་ ཟི་],
[དུམ་ ཁྲོས],
[མྱི་ དུང],
[ངེ་ ཉ་],
[གནམ་ རྒན་ མ],
[ཁྱུར་ ཉིས་],
[འདི་ཡ ས་],
[འཇོག་ འ་],
[དུ་ ཡས་],
[ཁྱེད་ ཆོ་],
[ཁྱེད་ ཆོ],
[གནམ་ རྒན],
[ཉ་ འི་],
[ཉོག་ ཡས],
[ཡེད་ དགོ་],
[ཨུ་ འདེ་],
[རང་ འ་],
[ཚོགས་ ཀ],
[འགྲེ ས་],
[ཅི་ འ་],
[སྩ་ འུ་],
[བདེན་ དཀར་ རོ་],
[སྒྲིག་ བ་],
[ག་ ཚོ་],
[ཅོང་ གྲོག],
[ཡར་ ཐོག་མ],
[ཨ་ ཀྲ],
[སེར་ གྲོག་མ],
[གཡང་ གྲུང་ མ],
[འདང་ ནོག],
[འབྲང་ ཐིག],
[འབྲང་ ཐིག་],
[སྔ་ རོ་],
[བཞ ས་],
[ཁྱུ་ ཚོ་],
[གྲམ་ ཚེས་],
[ཧོ ས་ འུ་],
[གོ་ གྲིག་],
[ནངས་ ཀ་],
[བཀྱུ ས་],
[འུ་ འོ ས་],
[ཁེ་ ཉིན་],
[ཧ་ ཟུ ར་],
[སྨུག་ འའི་],[སྨུག་འ][འི]
[ཉིས་ འས་],
[ཁྱུ་ ཉིས་ འས་],
[ཁྱུ ས་],
[སྡོང་ སུ ས་],
[སྐོང་ ངོ་],
[རྒྱོབ་ བ་],
[གེ་ རུ ས་],
[ཡུ ར་],
[ཁ་ གྱངས་],
[ཚ་ སྐོང་],
[ཐ་ སོ་],
[ངེ་ཉིས་ འ་],
[བཅུག་ ཉིས་],
[ལྔ་ བཅུ་],
[བདག་ འོ],
[སྐྱག་ སྐྱིད་],
[ཕྱག་ འཚོ ས་],
[དཀྱིལ་ གྲོང་ ང་],
[བསེ་ _  འེ་],
[བཅའ་ ལྔ་],
[བདག་ གོ],
[གདུ ས་],
[མཚོ ས་],
[ག་ རེ་],
[རབ་ གྱ་],
[ཅན་ གོ་],
[ངུ་ ཟོ་],
[ཁུ་ རོ་],
[ཧོ ས་ ཀི་],
[འུ་ ཉི་],
[ཨུ་ ཡིན་],
[འབྲི་ མོ],
[ཕྱིར་ ཆད],
[ལོ ས],
[དུ་ རང་],
[སྐད་ འཕྲིན],
[ཁུ་ ཆོ་],
[ཆི་ ཡིན་],
[དུ་ ཡིན་],
[ཨུ་ ཐུབ་],
[གནམ་ ཉིན],
[གནམ་ ཉིན་],
[འདེ་ འ་],
[གཞན་ ནིང་],
[ཁྱུ་ ཉིས་],
[ཐོག་ བ་],
[ཁུ་ རང་],
[ད་ སང་],
[དུ་ འཕྲོ་],
[ཉིན་ མ],
[སྐོར་ ར་],
[ཧར་ འཁའི་],
[འགོ་ ཐུར་],
[དུ་ ཡང་],
[འགོ་ ཐུར],
[ཆི་ འེ་],
[ཁྱུ་ ཉ་],
[ཧོང་ གི་],
[དུ་ མེད་],
[བཞི་ བོ],
[ག་ ནས་],
[ག་ ན་],
[ཨུ་ ཡོད་],
[དུ་ ནང་],
[མཐའ་ ཁ],
[རོ་ དཔའ་],
[ཙིག་ འེ་],
[ལག་ ཧ་],
[ཆི་ འ་],
[ཨུ་ མྱོང་],
[མི་ བ་],
[ཅ་ ཁ་],
[ཨ་ བུ་],
[ཡོད་ རེས་],
[ཨུ་ ཉན་],
[ག་ཤ ས],
[བ་ ཙིག་],
[ཆི་ ཙིག་],
[ཐད་ གི་],
[ཤོག་ བ་],
[དུ་ ཆོ་],
[དབྱེན་ རྐྱལ་ མ],
[ཧ་ འགྱོ་],
[སུ ར་ འགྱོ་],
[རོག་ ཧ་],
[ཨུ་ ཆོག་],
[ཨུ་ འགྱོ་],
[ཨུ་ བཟོ་],
[འོ་ འོ],
[ཆི་ ཟེ་],
[ཟོག་ ཤ་],
[ཞིས་ མོ་],
[རུ ས],
[མི་ ཉག་],
[བྲི་ སྤྱད་],
[ག་ དྲེས་],
[དགོད་ སྤྱད་],
[དེ་ ལོ་],
[ཨུ་ དགོ་],
[གོན་ ཡས་],
[ཁེར་ མོ་],
[ཤི་ རེ་ ཁོ],
[ལྟག་ ཀ],
[སྡུ ས་],
[སྤོ ར་],
[ཅན་ ཀོ་],
[འིན་ ཨུན་],
[ནང་ ཚ་],
[ཨུ ས་],
[མེ ར་],
[དྲུ ས་],
[བཀལ་ སྐུད],
[འིན་ ཨིན་],
[ལོ ས་],
[ཡོད་ སྤྱད་],
[ཏོང་ དྲུ ས་],
[དུ་ འི],
[ཆུ་ ཟིག་],
[གོ ར་],
[ལྟག་ ཀ་],
[རྒྱུ་ པ་],
[ཁ ས་],
[བཅི ར་],
[ཧན་ ཁུ་],
[འོ་ ཡེ],
[ཁེ ས་],
[འཇུ་ སྤྱད་],
[རྩ་ གཅད་],
[ཧུད་ རྒྱུ་],
[ལོ་ བརྒྱ་],
[ཧ་ རྒན་],
[སྟོང་ འཚག་],
[དུ་ ཡེད་],
[མྱི་ ཧ་],
[ཁ་ རླན་],
[མི་ ཧྲ་],
[ཨུ་ ཤུ་],
[ཆེ་ ཀི་],
[རང་ འ],
[དང་ མ་],
[གནོད་ སྐྱ་],
[བཤ ས་],
[ཨུ་ འཛོས་],
[མི་ འཛོས་],
[རྩ་ མོ་],
[མར་ ར་],
[ནངས་ རིས་],
[ཡིས་ རྒྱུ་],
[ཀ་ རོ ས་],
[འདི་ ཤེ་],
[ངུ་ ཟོས་],
[ཡོད་ རྒྱོ་],
[ཧྲ་ རྒྱོ་],
[བྱིན་ དྲ་],
[བཞིག་ འ་],
[ཡོད་ ནོ་],
[ཡོས་ ན་],
[སྩག་ དཔའ་],
[ལག་ དཔ འི་],
[ཁྱུ་ཆོ ས་],
[མྱེ་ ཆ་],
[ཙི་ འེ་],
[དུ་ ཡིས་],
[དམར་ རོ་],
[འདོགས་ འ་],
[ག་ ཆོ་],
[ཐག་ རིང་],
[ཕ་ བཟང་],
[ལས་ ཀ],
[ཁྱ་ ཁྱ],
[ཕ་ སྐད་],
[གང་ ཆོ],
[གནའ་ ཤི],
[ཁོ་ སང་],
[ཨོང་ ཤ་],
[གནའ་ ཤི་],
[ཆི་ དགོ་],
[ཚ་ འདེ],
[ཁ་ ཤོང་],
[སྐྱག་ མོ་],
[ཁར་ ཁེར་],
[ད ས་],
[སློང་ སྦྱོང་],
[འགྱོ་ དགོ་],
[རྩ་ ཡ],
[ཁར་ ཁར],
[དང་ མ],
[འཕྲུལ་ རྟ་],
[ལྭ་ བསྐྱུ་],
[བསྐྱུ་ སྐྱེན་],
[མདུག་ ཅོག],
[ཆུ་ ཤོག],
[མོ་ ཐོ་],
[ཆིའུ་ འཕྲས་],
[ཆོ་ ཡ་],
[དུ་ འི་],
[ཨོང་ ལྕགས་],
[པ ས],
[གློག་ རྫ],
[ངི་ ཆ],
[ཁར་ ཁར་],
[མར་ ལྡང],
[སྦྲ་ སྤྲུག],
[ཟིག་ ཡ་],
[མགོ་ ཁྲིད་],
[མོ ས་],[མོ][ས་]
[སོ་ དྲུག],
[སོ་ གཉིས་],
[སོ་ བཞི],
[ཆ་ ཡིས་],
[ངེ་ ཆ],
[མཇལ་བ ར་],[མཇལ་བ][ར་]
[མག་ ཀ་],
[ཨ་ རྫི ས],
[ངེ་ ཉ],
[ཁྱུང་ ཆུ་],
[ང་],
[ཁྱོ་ ཆ་],
[ཁུར་ ར་],
[ཀན་ ཆས],
[ཕི ས],
[ཕལ་ཆེ ར་],
